Speaker,Gender,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
1,F,-578.8043213,124.360199,-25.69031143,40.99905777,1.405100346,8.125956535,-5.920345783,-3.415141821,4.91943264,2.822641373,3.757288933,4.517326832,9.817180634,-0.076238506,0.140538231,0.050365634,-0.082576469,0.040058699,-0.020427791,0.012919061,-0.031847879,-0.011170822,-0.011669671,-0.004716031,0.007874665,-0.032919098
1,F,-561.7229614,122.9847946,-30.46242905,40.65309906,0.293720275,3.562361717,-7.181559086,-5.459552765,4.760808945,2.325904608,2.894907236,5.5610466,10.37384701,-0.039202813,0.017805271,0.025427906,-0.024661828,0.008971038,0.019514484,0.017360039,-0.005681851,-0.030095857,-0.009472343,0.013923812,0.006110436,-0.012345769
1,F,-550.6504517,125.6543198,-35.43785858,36.31143188,3.403479815,3.387751818,-6.966459274,-6.187021255,4.843084335,3.226856232,2.324559212,5.706535816,8.789615631,-0.115399159,0.005791167,0.036457479,-0.040378604,0.018921811,0.017488454,0.024538226,0.002377125,0.002803341,0.018167371,0.015277113,0.004123822,-0.009826836
1,F,-558.5618286,132.1032715,-38.51217651,41.19493484,-0.893268883,0.402103037,-10.25169945,-1.026401043,8.387501717,1.250214934,4.069227695,4.926897049,8.175408363,-0.002568747,0.063120894,0.029856624,-0.021968104,-0.016361561,-0.02236972,-0.003287654,-0.006391114,-0.021829264,-0.005299765,0.010810453,0.011089712,0.005546968
1,F,-558.5844116,130.0963898,-28.94308853,39.91926575,-2.591207743,-1.874362826,-10.92558575,0.250120968,7.03342104,-0.099645972,5.98679781,5.149831295,5.154631615,0.003376486,0.006616063,0.014242964,0.000707869,-0.014011226,-0.00347242,0.002310915,0.0072018,0.002045655,-0.000832249,-0.005735164,-0.007369798,0.013866059
1,F,-548.1256714,123.7793579,-28.81582642,41.4706192,-3.649723768,-1.875193834,-11.85745525,4.192441463,5.300394058,-1.80051887,6.501398563,4.887311459,5.591433048,-0.016717212,0.083986565,0.03776814,-0.022204261,0.013660855,-0.019717839,-0.007932677,-0.048566002,-0.020375006,0.015217223,0.00555404,0.001656654,-0.013509198
1,F,-544.7606812,137.0720825,-34.25845337,34.98601532,-4.934891224,-4.055869579,-4.101029396,2.25998354,5.681219101,0.758182585,6.320861816,2.837193489,4.441983223,0.119572364,0.077576324,-0.006352493,-0.006199456,-0.009946394,-0.007814224,-0.022070261,-0.028876796,-0.016853254,-0.006062917,-0.003188342,-0.003090117,-0.015973415
1,F,-557.9501953,131.0711212,-25.88734055,40.10750961,1.781724691,-5.935884953,-8.419825554,2.322442055,6.113449097,-0.280690759,4.515655994,3.860836744,4.576467514,0.037120622,0.030751713,0.000818463,0.011197348,0.011687265,-0.01157925,0.000727079,-0.008705285,-0.02794957,-0.012536954,-0.013573285,0.002551586,-0.004031963
1,F,-560.2493896,133.7085266,-29.52763939,40.20085526,-0.562259316,-1.480795264,-6.715753078,-0.499856085,5.442298412,0.904014587,5.227499962,4.610389709,4.283908844,-0.031867895,0.042003218,-0.008003987,-0.058390342,0.037932031,0.013796127,-0.020661686,-0.010100497,0.026723338,0.015190714,-0.009682232,0.00182337,0.010971138
1,F,-545.651001,133.6011505,-33.87183762,55.02223206,-4.498821735,-8.876329422,-10.72192764,-0.331643224,3.204590321,-5.461072445,4.480859756,5.402042389,6.941755295,-0.018870089,-0.011456609,0.007745513,0.006485961,0.004378793,-0.007534152,-0.014206982,-0.006660127,-0.006200548,0.003162454,-0.001576867,0.001988142,0.012942107
1,F,-552.1902466,129.3382111,-40.65620422,41.96944809,-1.0160954,-6.422461987,-8.744795799,4.485818386,8.364037514,-0.437456191,6.397949696,4.215080261,4.709313393,-0.106192842,0.071891256,0.069801763,-0.05501283,-0.013077823,-0.005321212,0.007675522,-0.017096395,-0.001207496,0.001793068,-0.013414362,0.013063553,0.010621818
1,F,-570.5363159,127.8946533,-25.78438759,36.91545486,2.573787451,-3.658574343,-8.182040215,3.982291698,6.292289734,-0.12928097,5.938697815,2.963765144,3.326547623,0.109525993,0.068034455,-0.036880329,-0.045860566,-0.008636408,-0.002266609,-0.027217025,-0.020631885,0.008250399,0.017004976,-0.005638806,0.000129509,0.002210275
1,F,-550.2238159,122.9324875,-29.820261,42.74637222,1.13241756,-6.534929752,-10.4213419,4.017454147,7.671326637,-0.771974862,5.042066574,2.873528242,4.429932594,-0.062271733,0.071104556,0.091242835,-0.02677278,-9.35E-05,-0.002620897,0.007678083,-0.026649332,-0.047551095,-0.013525289,-0.003917506,0.004257008,-0.003512987
1,F,-550.5638428,125.8669739,-36.78764725,42.38481903,-1.246753454,-4.513412476,-8.199430466,2.557660818,7.131251335,-0.307906896,6.58896637,3.948008537,4.430148125,0.01202812,0.073350549,-0.008270895,-0.041844368,0.02077253,-0.031773083,-0.014866703,-0.00273695,0.008653938,0.002148351,-0.00949614,0.006274869,0.010961986
1,F,-573.8657227,139.651825,-36.97232056,40.50343323,2.458326578,-0.625622511,-8.574073792,2.098517895,6.321108818,1.461437345,6.219093323,3.419667482,7.316013813,0.00847542,0.019774687,0.017453583,0.006384686,0.014272527,-0.010777947,-0.022664789,-0.007798135,-0.014782284,0.002496045,-0.000781271,-0.00288404,0.004184384
1,F,-547.1294556,140.4479828,-46.72231674,52.57104492,-5.062786579,-2.392963171,-13.69507217,1.724491239,3.832960367,-0.510221541,6.25518465,2.368407249,4.5114007,-0.022690885,-0.006583191,-0.078954808,-0.090813614,0.106848828,0.094180763,0.004213566,0.036974881,0.087191157,0.038894035,-0.10531982,-0.011150791,0.035214677
1,F,-564.3634033,130.2409821,-33.88626099,36.406353,-0.51404953,-2.049598217,-5.523886204,4.883264065,6.817929745,1.182279468,7.279105663,3.378445148,4.634696484,0.029025638,0.084492251,-0.005660695,-0.061904036,0.000394048,-0.009758703,-0.000887382,-0.021563334,-0.019950576,-0.003667221,0.010719895,0.007171397,0.000672609
1,F,-550.052002,131.8953552,-37.87498474,34.84629822,0.770527422,-3.118828297,-9.27116394,1.398258924,8.173036575,0.442890197,7.146704197,4.858374119,4.909008026,-0.076418772,0.038461395,0.033620287,-0.030957947,0.034267332,-0.008907665,0.002032846,0.006719774,0.008101908,0.012784086,0.001531488,0.003527608,-0.002601309
1,F,-556.5909424,126.5012131,-33.53748703,44.46375656,1.065831065,-5.018616676,-11.62040043,2.690342188,6.248351097,-1.949316025,6.626049042,4.958303452,5.593148708,0.061672918,0.04938966,0.035805658,0.058503453,-0.011663343,-0.061259989,-0.017732298,-0.018587794,-0.026223741,-0.017691731,-0.002771983,0.023001028,-0.012912014
1,F,-565.1156006,117.8701019,-26.71767998,45.66236496,-2.739290476,-4.110551357,-7.330402374,4.107525826,4.915440559,-0.486231774,6.126480579,4.201401711,7.094539165,0.080434717,0.028725782,-0.014415642,0.037554629,-0.002077787,-0.037356302,-0.003902064,-0.001622872,-0.008680952,-0.015717059,-0.011560021,0.005103565,-0.006876473
